fname,lname,email,gender,age,overall_gpa,major_gpa,intro_gpa,intermediate_gpa,advanced_gpa,years_experience
Edwin,Vasquez,edwin.vasquez@email.com,Male,70,3.5,3.8,4.0,3.7,3.7,28
Esther,Obrien,esther.obrien@email.com,Female,68,3.8,3.6,3.7,3.7,3.5,34
Lindsey,Chambers,lindsey.chambers@email.com,Female,67,3.5,3.6,3.5,3.6,3.7,42
Donald,Mckinney,donald.mckinney@email.com,Male,67,2.6,3.0,2.9,3.0,3.1,30
Marguerite,Benson,marguerite.benson@email.com,Female,66,3.6,3.8,3.7,3.7,4.0,12
Jean,Gonzales,jean.gonzales@email.com,Non-binary,65,3.0,3.5,3.5,3.4,3.6,1
Harvey,Morgan,harvey.morgan@email.com,Male,63,2.9,2.8,2.7,2.7,3.0,17
Valerie,Powell,valerie.powell@email.com,Female,63,2.0,2.5,2.5,2.5,2.5,11
Emanuel,Kim,emanuel.kim@email.com,Male,60,3.7,3.8,3.6,3.7,3.9,31
Marc,Clayton,marc.clayton@email.com,Male,59,2.6,3.0,3.2,3.0,2.8,30
Jennifer,Simpson,jennifer.simpson@email.com,Female,59,2.2,2.8,2.7,2.9,2.8,10
Jimmy,Wagner,jimmy.wagner@email.com,Male,56,2.5,2.8,2.8,2.9,2.7,8
Marty,French,marty.french@email.com,Male,55,2.8,3.3,3.3,3.4,3.2,33
Deanna,Brown,deanna.brown@email.com,Female,54,3.7,3.9,4.0,4.0,3.8,10
Ernesto,Klein,ernesto.klein@email.com,Male,54,2.0,2.5,2.6,2.5,2.4,24
Ada,Ramsey,ada.ramsey@email.com,Female,53,2.8,3.4,3.5,3.3,3.4,20
Raul,Henderson,raul.henderson@email.com,Male,48,2.3,2.2,2.2,2.1,2.3,15
Carrie,Holland,carrie.holland@email.com,Female,47,2.8,3.4,3.5,3.5,3.2,4
Yolanda,Willis,yolanda.willis@email.com,Female,47,3.2,3.4,3.3,3.3,3.6,6
Shannon,Coleman,shannon.coleman@email.com,Female,46,2.7,3.0,3.2,3.1,2.7,16
Rafael,Martin,rafael.martin@email.com,Male,44,3.3,3.8,3.8,3.8,3.8,19
Sylvia,Ortiz,sylvia.ortiz@email.com,Female,44,2.9,3.0,3.1,2.9,3.0,3
Francis,Delgado,francis.delgado@email.com,Male,42,3.9,3.7,3.7,3.7,3.7,14
Danny,Hogan,danny.hogan@email.com,Male,42,2.7,2.6,2.5,2.6,2.7,17
Lonnie,Cobb,lonnie.cobb@email.com,Non-binary,40,3.0,3.6,3.7,3.7,3.4,13
Calvin,Goodman,calvin.goodman@email.com,Male,40,3.5,3.9,3.9,3.8,4.0,8
Wesley,Harper,wesley.harper@email.com,Male,40,3.5,3.8,4.0,3.7,3.9,8
Irene,Perkins,irene.perkins@email.com,Female,40,3.4,3.3,3.5,3.2,3.2,9
Krista,Potter,krista.potter@email.com,Female,40,2.0,2.0,2.1,2.0,1.9,4
Ramona,Glover,ramona.glover@email.com,Female,39,2.6,2.8,2.9,2.8,2.7,13
