fname,lname,email,gender,age,overall_gpa,major_gpa,intro_gpa,intermediate_gpa,advanced_gpa,years_experience
Shelia,Abbott,shelia.abbott@email.com,Female,23,3.4,4.0,4.0,4.0,4.0,1
Arnold,Alvarado,arnold.alvarado@email.com,Male,24,2.8,2.6,2.8,2.7,2.3,1
Woodrow,Bailey,woodrow.bailey@email.com,Male,34,2.2,2.4,2.3,2.5,2.4,5
Adam,Baldwin,adam.baldwin@email.com,Male,31,3.1,3.4,3.3,3.5,3.4,4
Hazel,Barnes,hazel.barnes@email.com,Female,33,3.1,3.2,3.1,3.1,3.4,2
Randy,Bass,randy.bass@email.com,Male,34,2.0,2.1,2.2,2.1,2.0,2
Mae,Bates,mae.bates@email.com,Female,38,2.2,2.6,2.6,2.7,2.5,4
Jasmine,Becker,jasmine.becker@email.com,Female,22,3.3,3.5,3.4,3.6,3.5,0
Preston,Bell,preston.bell@email.com,Non-binary,23,3.3,3.5,3.6,3.6,3.3,1
Marguerite,Benson,marguerite.benson@email.com,Female,66,3.6,3.8,3.7,3.7,4.0,12
Juan,Blake,juan.blake@email.com,Male,23,2.4,2.9,2.8,2.8,3.1,1
Joy,Boone,joy.boone@email.com,Female,22,2.6,2.8,2.7,2.9,2.8,0
Jose,Bowman,jose.bowman@email.com,Male,28,3.2,3.7,3.9,3.7,3.5,0
Bradley,Briggs,bradley.briggs@email.com,Male,34,2.3,2.9,3.0,3.0,2.7,11
Derrick,Brock,derrick.brock@email.com,Male,37,2.1,2.0,2.1,2.1,1.8,11
Deanna,Brown,deanna.brown@email.com,Female,54,3.7,3.9,4.0,4.0,3.8,10
Ernestine,Brown,ernestine.brown@email.com,Male,23,2.8,2.8,3.0,2.8,2.6,0
Tommy,Bryan,tommy.bryan@email.com,Male,31,3.6,3.7,3.9,3.6,3.6,7
Hilda,Burke,hilda.burke@email.com,Female,37,3.1,3.7,3.8,3.6,3.7,10
Geoffrey,Bush,geoffrey.bush@email.com,Male,31,2.1,2.2,2.1,2.1,2.4,3
Tommie,Butler,tommie.butler@email.com,Male,27,2.2,2.5,2.4,2.4,2.7,3
Marsha,Byrd,marsha.byrd@email.com,Female,30,3.8,3.9,3.9,3.9,3.9,8
David,Carr,david.carr@email.com,Male,36,3.1,2.9,2.9,2.9,2.9,11
Sonya,Carr,sonya.carr@email.com,Female,33,2.9,3.1,3.1,3.1,3.1,9
Rogelio,Castro,rogelio.castro@email.com,Male,34,2.8,3.3,3.3,3.2,3.4,0
Lindsey,Chambers,lindsey.chambers@email.com,Female,67,3.5,3.6,3.5,3.6,3.7,42
Natasha,Christensen,natasha.christensen@email.com,Female,22,3.2,3.2,3.4,3.1,3.1,0
Marc,Clayton,marc.clayton@email.com,Male,59,2.6,3.0,3.2,3.0,2.8,30
Lonnie,Cobb,lonnie.cobb@email.com,Non-binary,40,3.0,3.6,3.7,3.7,3.4,13
Orlando,Cobb,orlando.cobb@email.com,Male,26,2.5,2.9,2.9,2.8,3.0,3
Shannon,Coleman,shannon.coleman@email.com,Female,46,2.7,3.0,3.2,3.1,2.7,16
Jeremy,Collier,jeremy.collier@email.com,Male,31,3.6,3.8,3.6,3.8,4.0,5
Alma,Collins,alma.collins@email.com,Female,25,2.5,2.8,2.8,2.8,2.8,3
